palette_name,region_inspired,description,hex_1,hex_2,hex_3,hex_4,hex_5,fabric_use,thematic_tags
Mythic Grove,Europe,#3E5C3A,#8BAF8B,#D6E2C9,enchanted,rooted,ancient,"forest invocation","Hoodies, Joggers / Track Pants"
Solstice Veil,Europe,#F2E8D5,#E3C77B,#B05C12,seasonal,cyclic,festive,"light return","Button-Downs, Tote Bags"
Alpine Whisper,Europe,#E6F2F7,#B6C9E2,#6A7BA2,crisp,ascendant,clarifying,"mountain breath","Bucket Hats / Caps, Shorts"
Cedar Smoke,North America,#4B3A2B,#8C6E5A,#D9BFA3,grounded,smoky,ancestral,"fire circle","Hoodies, Tote Bags"
Prairie Hymn,North America,#E2D6B6,#A6A67C,#5C5E3A,open,expansive,hopeful,"grassland prayer","T-Shirts, Joggers / Track Pants"
Redwood Pulse,North America,#3A4F3E,#6E8B74,#B6C9B2,majestic,rooted,protective,"tree memory","Sweatshirts, Bucket Hats / Caps"
Coyote Dusk,North America,#B05C12,#F2B885,#F6E7B4,playful,liminal,transformative,"trickster hour","Shorts, Scarves / Bandanas"
Glacier Signal,North America,#E6F2F7,#B6C9E2,#2E3A4F,crystalline,alert,renewing,"ice witness","Button-Downs, Tote Bags"
Andean Pulse,South America,#B13A2B,#F2B885,#E3C77B,altitude,festive,ancestral,"mountain chant","Hoodies, Joggers / Track Pants"
Selva Breath,South America,#3A5D4B,#8ABF8B,#E6F2D2,lush,oxygenic,reborn,"jungle exhale","T-Shirts, Tote Bags"
Pampas Veil,South America,#E2D6B6,#A6A67C,#5C5E3A,open,wind-swept,melancholic,"grassland hymn","Sweatshirts, Shorts"
Amazonia Myth,South America,#2C3E4F,#5A8CA4,#B7D6E8,verdant,fluid,primordial,"river genesis","Button-Downs, Scarves / Bandanas"
Condor Sky,South America,#B6C9E2,#6A7BA2,#2E3A4F,soaring,liberated,visionary,"sky prayer","Bucket Hats / Caps, Tote Bags"
Coral Dream,Oceania,#F2B885,#E3C77B,#B6C9B2,buoyant,playful,restorative,"reef blessing","T-Shirts, Shorts"
Tide Oracle,Oceania,#2C3E4F,#5A8CA4,#B7D6E8,fluid,prophetic,cleansing,"oceanic vision","Hoodies, Scarves / Bandanas"
Rainforest Liturgy,Oceania,#3A5D4B,#8ABF8B,#E6F2D2,verdant,ancient,renewing,"canopy psalm","Polo Shirts, Tote Bags"
Vulcanic Song,Oceania,#B13A2B,#F2B885,#F6E7B4,fiery,emergent,transformative,"island genesis","Joggers / Track Pants, Bucket Hats / Caps"
Antarctic Halo,Antarctica,#E6F2F7,#B6C9E2,#6A7BA2,pristine,otherworldly,transcendent,"ice halo","Sweatshirts, Scarves / Bandanas"
Glacial Psalm,Antarctica,#B6C9E2,#6A7BA2,#2E3A4F,still,meditative,eternal,"polar hymn","T-Shirts, Tote Bags"
Aurora Silence,Antarctica,#F2E8D5,#B6A6CA,#2E3A4F,celestial,quiet,illuminated,"aurora prayer","Hoodies, Bucket Hats / Caps"
Resonant White,Antarctica,#F7F7F7,#E6F2F7,#B6C9E2,pure,echoing,limitless,"white resonance","Button-Downs, Shorts"
palette_name,continent,hex_codes,mood_keywords,spiritual_reference,suggested_products
Baobab Whisper,Africa,#8B4513,#D2691E,#F4A460,#2F4F4F,ancestral rooted sacred timeless,tree of life communion,Hoodies Tote Bags Scarves/Bandanas
Sahara Mirage,Africa,#DEB887,#CD853F,#F5DEB3,#8B0000,infinite flowing mystic ancient,desert vision quest,Button-Downs Bucket Hats/Caps
Nile Genesis,Africa,#4682B4,#87CEEB,#228B22,#8B4513,life-giving eternal flowing sacred,river of souls baptism,T-Shirts Polo Shirts
Serengeti Pulse,Africa,#DAA520,#FF8C00,#8B4513,#2F4F4F,wild rhythmic primal alive,great migration heartbeat,Joggers/Track Pants Shorts
Lotus Mandala,Asia,#FFB6C1,#DDA0DD,#9370DB,#4B0082,transcendent pure meditative divine,enlightenment bloom cycle,Scarves/Bandanas Sweatshirts
Himalayan Breath,Asia,#F0F8FF,#B0C4DE,#4682B4,#2F4F4F,elevated pristine sacred eternal,mountain god whispers,Hoodies Button-Downs
Monsoon Scripture,Asia,#2E8B57,#228B22,#4682B4,#191970,cleansing rhythmic life-giving deep,seasonal prayer dance,T-Shirts Tote Bags
Jade Temple,Asia,#00FA9A,#32CD32,#228B22,#006400,harmonious balanced sacred wise,ancient stone meditation,Polo Shirts Sweatshirts
Aurora Codex,Europe,#00FFFF,#87CEEB,#4169E1,#191970,mystical dancing ethereal pure,northern lights prophecy,Scarves/Bandanas Hoodies
Celtic Knot,Europe,#228B22,#2E8B57,#8B4513,#2F4F4F,interwoven ancient sacred rooted,eternal spiral wisdom,Button-Downs Tote Bags
Mediterranean Salt,Europe,#87CEEB,#4169E1,#F5F5DC,#DAA520,cleansing ancient flowing warm,sea blessing ritual,T-Shirts Shorts
Alpine Echo,Europe,#F5F5F5,#B0C4DE,#2E8B57,#4B0082,pristine elevated sacred resonant,mountain cathedral silence,Sweatshirts Bucket Hats/Caps
Redwood Cathedral,North America,#8B4513,#A0522D,#228B22,#2F4F4F,towering ancient sacred grounded,forest temple pillars,Hoodies Joggers/Track Pants
Prairie Wind,North America,#F5DEB3,#DAA520,#87CEEB,#8B4513,vast flowing free eternal,grassland spirit song,Button-Downs Tote Bags
Canyon Prayer,North America,#CD853F,#A0522D,#FF4500,#2F4F4F,carved ancient sacred deep,stone altar meditation,T-Shirts Scarves/Bandanas
Great Lakes Mirror,North America,#4682B4,#87CEEB,#B0C4DE,#2F4F4F,reflective pure vast sacred,freshwater soul cleansing,Polo Shirts Sweatshirts
Coral Dreaming,Oceania,#FF7F50,#FF6347,#00CED1,#4169E1,alive vibrant flowing sacred,reef spirit awakening,Shorts Bucket Hats/Caps
Pacific Depth,Oceania,#191970,#000080,#4169E1,#00CED1,profound infinite mysterious sacred,ocean floor meditation,T-Shirts Hoodies
Island Genesis,Oceania,#32CD32,#00FA9A,#87CEEB,#F5DEB3,birthing pure flowing sacred,volcanic creation song,Button-Downs Tote Bags
Maori Spiral,Oceania,#8B4513,#2F4F4F,#F5F5DC,#4682B4,ancestral flowing sacred eternal,cultural memory dance,Scarves/Bandanas Polo Shirts
Condor Flight,South America,#8B4513,#A0522D,#87CEEB,#2F4F4F,soaring ancient sacred elevated,mountain spirit messenger,Hoodies Button-Downs
Amazon Heartbeat,South America,#006400,#228B22,#8B0000,#FFD700,alive pulsing sacred primal,jungle life force rhythm,T-Shirts Joggers/Track Pants
Inca Gold,South America,#FFD700,#DAA520,#CD853F,#8B4513,divine radiant sacred ancient,sun temple offering,Tote Bags Scarves/Bandanas
Patagonia Wind,South America,#B0C4DE,#4682B4,#2F4F4F,#F5F5DC,wild free sacred vast,endless sky meditation,Sweatshirts Bucket Hats/Caps
Glacier Psalm,Antarctica,#F0FFFF,#E0FFFF,#B0E0E6,#4682B4,pristine eternal silent sacred,ice cathedral hymn,Hoodies Sweatshirts
Polar Night,Antarctica,#191970,#000080,#4169E1,#E0FFFF,profound mysterious sacred infinite,aurora meditation depths,Button-Downs Scarves/Bandanas
Iceberg Revelation,Antarctica,#F0F8FF,#87CEEB,#4682B4,#2F4F4F,hidden pure sacred profound,frozen wisdom emergence,T-Shirts Tote Bags
